size2,size3,size4,size5
325.81722,499.738013,538.010452,609.835292
307.448749,499.738014,672.44254,661.181979
207.41186,395.695106,523.781049,720.262121
376.566486,495.731991,672.442544,632.395346
188.865599,514.100461,509.418595,656.400606
311.454772,493.26376,451.455034,736.438257
307.448751,534.908565,468.117367,739.775168
376.566487,448.988745,620.609656,524.541195
307.448748,330.583387,616.435289,676.050345
376.566486,497.438135,517.708268,711.474771
376.566486,514.100463,612.925965,655.242244
307.448745,499.73801,621.095856,631.236986
325.817222,386.247071,398.796994,626.488459
376.566483,499.738011,627.359078,633.448597
376.566484,484.159298,488.925465,744.893815
376.566484,394.53674,605.673993,620.37464
376.566485,395.695101,333.685278,521.517484
376.566486,514.100465,631.635199,777.245593
197.963828,514.10046,612.429275,768.968161
311.454767,432.326417,612.925968,739.775169
206.2535,395.695103,496.314348,689.50647
311.45477,494.101222,658.080091,468.699721
325.817219,330.583391,637.271993,497.447685
207.411862,395.695101,500.32037,521.968518
376.566485,365.753939,620.609658,736.438256
376.566481,495.731993,658.080089,777.2456
376.566485,493.26376,518.866629,372.59668
207.411859,432.326417,612.996621,639.738281
376.566486,514.100464,562.176699,454.586465
376.566488,330.583389,596.820495,727.605053
346.62532,483.561883,600.037207,512.069453
376.566483,494.101225,672.442538,621.554378
311.454771,495.731994,413.665359,750.459946
305.81798,373.991126,652.443302,615.354579
376.566486,514.100463,652.443302,718.31656
197.963827,495.731994,502.153021,720.616444
376.566488,424.642725,509.418598,635.563913
376.566485,499.738009,620.609657,572.275403
307.448751,499.738011,620.60966,679.809108
301.541856,514.100466,518.86663,737.571181
305.817978,432.326416,404.217327,621.856004
376.566485,497.438134,601.096613,756.4375
206.253499,217.092446,562.274369,555.529677
307.448749,499.738013,612.42927,652.394592
311.45477,448.988747,518.866632,774.945716
305.817981,499.738013,637.271987,677.208705
376.566487,395.695107,537.32357,575.107136
346.62532,482.502468,618.903521,656.400611
376.566488,424.983483,487.767103,626.960862
